year,total_jobs,ai_jobs,proportion,ai_job_ids
2013,953,13,0.013641,1941|1947|1967|1969|1982|2033|2130|2142|2207|2208|2217|2218|2741
2014,595,9,0.015126,3039|3164|3315|3383|3397|3435|3452|3506|3534
2015,572,8,0.013986,3624|3661|3681|3917|3953|4121|4150|4170
2016,602,13,0.021595,4474|4486|4814|4818|5090|5142|5378|5802|6506|6510|6650|6894|6898
2017,577,21,0.036395,6970|7054|7086|7090|7222|7226|7346|7422|7430|7442|7474|7582|7842|8094|8098|8106|8254|8710|9050|9062|9234
2018,596,21,0.035235,9686|9718|9882|9902|9974|9994|10078|10198|10446|10522|10586|10738|10962|11078|11106|11274|11470|11662|11702|11926|11962
2019,634,48,0.07571,12146|12158|12182|12262|12298|12438|12442|12494|12542|12642|12734|12738|12762|12766|13066|13086|13174|13186|13246|13250|13290|13394|13466|13478|13554|13830|13990|14022|14038|14046|14130|14134|14158|14166|14206|14266|14334|14362|14370|14382|14426|14454|14482|14510|14526|14574|14594|14626
2020,440,55,0.125,14722|14758|14790|14806|14858|14894|14902|15026|15078|15082|15086|15118|15142|15146|15174|15226|15242|15262|15278|15282|15350|15434|15446|15462|15466|15470|15486|15506|15534|15582|15586|15590|15606|15638|15642|15726|15814|15910|15946|16010|16030|16042|16094|16098|16142|16166|16230|16246|16322|16390|16402|16462|16474|16478|16522
2021,700,64,0.091429,16626|16654|16674|16738|16754|16758|16762|16798|16806|16942|16946|17026|17078|17086|17246|17294|17311|17323|17346|17374|17466|17493|17497|17601|17665|17677|17718|17762|17842|18026|18038|18054|18082|18086|18102|18177|18229|18369|18401|18489|18693|18761|18817|18857|18877|18893|18937|18945|18981|18985|19033|19041|19069|19077|19129|19161|19185|19201|19285|19305|19361|19393|19453|19505
2022,743,74,0.099596,19561|19573|19613|19658|19682|19702|19726|19730|19738|19754|19814|19854|19902|19906|19974|20058|20126|20189|20193|20213|20394|20398|20438|20494|20522|20550|20586|20622|20646|20706|20786|20806|20826|20882|20938|20942|20981|21006|21050|21078|21210|21274|21390|21462|21482|21490|21578|21678|21682|21690|21722|21734|21754|21782|21802|21890|21898|21918|21930|21986|22050|22066|22098|22102|22202|22214|22249|22273|22297|22305|22389|22458|22498|22578
2023,722,100,0.138504,22673|22701|22765|22781|22785|22793|22797|22801|22805|22809|22813|22849|22853|22865|22869|22917|22933|23005|23009|23021|23029|23093|23097|23101|23141|23169|23253|23277|23285|23317|23325|23361|23393|23409|23441|23598|23682|23686|23690|23754|23762|23766|23862|23866|23906|23910|24026|24062|24166|24170|24178|24190|24230|24238|24310|24390|24406|24426|24450|24510|24530|24546|24582|24606|24614|24694|24718|24778|24798|24802|24806|24818|24822|24830|24834|24846|24882|24890|24950|25070|25102|25126|25142|25146|25150|25194|25198|25229|25237|25241|25245|25309|25313|25337|25401|25425|25469|25489|25501|25629
2024,639,96,0.150235,25633|25689|25717|25729|25734|25750|25774|25778|25790|25850|25866|25922|25946|25950|25970|25974|25998|26022|26082|26090|26098|26130|26146|26178|26218|26290|26322|26342|26346|26358|26422|26442|26470|26474|26538|26542|26574|26582|26658|26673|26718|26730|26806|26850|26854|26870|26950|26994|27082|27158|27190|27202|27262|27266|27302|27354|27378|27458|27482|27486|27490|27502|27570|27642|27650|27746|27762|27766|27794|27822|27866|27882|27906|27910|27918|27942|27966|27970|27998|28002|28006|28038|28106|28126|28138|28146|28174|28178|28182|28222|28250|28290|28306|28338|28374|28378
2025,536,94,0.175373,28430|28438|28494|28498|28530|28578|28598|28602|28622|28630|28689|28786|28818|28826|28838|28846|28878|28914|28926|29013|29017|29029|29041|29065|29069|29097|29113|29117|29145|29149|29186|29194|29249|29261|29273|29277|29285|29314|29346|29370|29398|29518|29522|29550|29566|29586|29594|29658|29666|29674|29722|29738|29746|29754|29766|29802|29810|29822|29850|29854|29866|29926|29938|29998|30022|30042|30046|30054|30062|30090|30138|30190|30194|30237|30241|30249|30265|30273|30285|30302|30305|30317|30329|30341|30378|30390|30398|30461|30469|30477|30509|30526|30530|30577
2026,211,51,0.241706,30605|30609|30646|30674|30722|30734|30746|30762|30786|30838|30849|30877|30901|30921|30929|30933|30949|30969|30993|31005|31029|31061|31081|31089|31093|31097|31113|31153|31157|31165|31169|31185|31213|31221|31225|31229|31233|31241|31265|31277|31305|31337|31385|31389|31393|31401|31421|31453|31501|31513|31517
