year,total_jobs,pass1_ids,pass1_confirmed,sample_n,sample_hits,estimated_missed,estimated_philtech,ai_jobs,philtech_and_ai,philtech_only,ai_only,neither,recall_lower,recall_upper
2013,953,9,9,50,0,0,9,13,0,9,13,931,9,76
2014,595,9,9,50,0,0,9,9,1,8,8,578,9,51
2015,572,9,9,50,2,23,32,8,0,9,8,532,15,85
2016,602,5,5,50,1,12,17,13,0,5,13,572,7,68
2017,577,10,10,50,1,11,21,21,1,9,20,536,12,70
2018,596,12,12,50,3,35,47,21,4,8,17,532,24,107
2019,634,10,10,50,2,25,35,48,4,6,44,555,17,94
2020,440,11,11,50,4,34,45,55,4,7,51,344,25,92
2021,700,22,22,50,6,81,103,64,5,17,59,538,60,183
2022,743,34,34,50,3,43,77,74,17,17,57,609,49,149
2023,722,25,25,50,4,56,81,100,12,13,88,553,47,156
2024,639,22,22,50,2,25,47,96,14,8,82,510,29,105
2025,536,23,23,50,3,31,54,94,14,9,80,402,34,106
2026,211,7,7,50,4,16,23,51,4,3,47,141,13,45
